date_witness,date_agent,witness,agent,latitude,longitude,city,country,region_hq,has_weapon,has_hat,has_jacket,behavior
2018-11-02,2018-12-25,Allison Knight,Jeffrey Graves MD,24.96334,10.18003,Ghat,LY,Tripoli,False,True,False,paranoid
1986-08-31,1986-10-09,James Garcia,Jeremy Moran,12.18441,18.69303,Mongo,TD,Ndjamena,True,True,False,over-complimenting
2021-07-08,2021-07-16,Amanda Stuart,Thomas Hamilton,6.8485,3.64633,Shagamu,NG,Lagos,True,True,True,tense
1988-02-27,1988-03-27,Chad Wilson,Stephanie Mcmillan,5.84752,-5.682,Lakota,CI,Abidjan,False,True,True,hostile
2016-04-06,2016-05-23,Mitchell Jones,Samuel Cunningham,3.11988,35.59642,Lodwar,KE,Nairobi,False,True,True,out-of-control
1993-02-24,1993-04-15,Betty Parker,Jason Mccarthy,9.535,-13.68778,Camayenne,GN,Conakry,False,True,True,worried
1990-04-06,1990-04-12,Anne Weaver,Nancy White,11.86064,9.0027,Gaya,NG,Lagos,False,True,True,happy
2001-11-30,2002-01-06,Carlos Brown,Jimmy Patel,-1.63333,13.58357,Franceville,GA,Libreville,False,False,True,talkative
2007-06-24,2007-06-29,Lindsay Whitaker,Stephanie Brooks,4.94273,15.87735,Carnot,CF,Bangui,False,True,True,evasive
1995-08-24,1995-10-15,Jose Watson,Todd Robinson,-8.73508,24.99798,Kamina,CD,Lubumbashi,True,False,True,fleeing
2001-08-01,2001-09-11,Tonya Walker,Joseph Rogers,11.85,38.01667,Debre Tabor,ET,Addis Ababa,False,True,True,hostile
2010-06-15,2010-08-05,Lisa Pearson,Dawn Simmons,5.27247,-3.59625,Bonoua,CI,Abidjan,False,True,True,panicking
2006-01-07,2006-02-21,Dr. Scott Anderson,Justin White,7.06273,-1.4001,Mampong,GH,Accra,False,True,True,lonely
2010-12-27,2011-01-02,Nicole Robinson,Jacob Salazar,7.65649,4.92235,Efon-Alaaye,NG,Lagos,False,False,True,tense
2004-03-15,2004-04-14,Christian Richardson,Jeffery Lee,35.72917,10.58082,Msaken,TN,Tunis,False,True,False,accusatory
2015-10-16,2015-10-20,Jonathan Roberts,Jorge Novak,-26.93366,29.24152,Standerton,ZA,Johannesburg,False,True,True,silent
2012-04-20,2012-06-13,Brandon Ford,Wayne Knight,-4.5833,15.16554,Kasangulu,CD,Kinshasa,False,True,True,panicking
2001-04-22,2001-05-15,Paul Martin,Laura Santana,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,True,True,insulting
2003-01-19,2003-02-10,Ryan Smith,Shelly Espinoza,11.86064,9.0027,Gaya,NG,Lagos,False,True,True,worried
2021-11-28,2022-01-17,James Smith,Christopher Baker,35.06544,1.04945,Frenda,DZ,Algiers,False,True,True,friendly
1988-03-08,1988-04-18,Benjamin Bennett,David Woodward,13.56667,-15.6,Farafenni,GM,Banjul,False,True,True,sad
1993-02-13,1993-03-29,Matthew Ortiz,Rita Johnson,-23.85972,35.34722,Maxixe,MZ,Maputo,False,True,False,accusatory
2012-03-03,2012-03-23,Scott Escobar,Kevin Contreras,7.06273,-1.4001,Mampong,GH,Accra,False,True,True,complaining
1988-08-06,1988-09-01,Katie Thompson,Robert Maxwell,4.94273,15.87735,Carnot,CF,Bangui,False,False,True,friendly
2003-11-25,2003-12-19,Deborah Brooks,Laura Oconnor,24.96334,10.18003,Ghat,LY,Tripoli,False,False,True,lonely
2008-06-03,2008-06-11,Amber Dennis,Christine Obrien,-27.76952,30.79165,Vryheid,ZA,Johannesburg,True,False,True,friendly
1990-07-18,1990-08-31,Heather Stewart,Jasmine Rowland,7.50251,5.06258,Igbara-Odo,NG,Lagos,False,True,True,talkative
1997-07-31,1997-08-15,Ashley Mitchell,Kimberly Woods,0.49113,29.47306,Beni,CD,Lubumbashi,False,False,True,over-complimenting
2007-05-29,2007-06-22,Timothy Rodriguez,Shawn Ramirez,0.76755,24.43973,Yangambi,CD,Lubumbashi,False,True,True,panicking
2003-03-16,2003-04-16,Jeffrey Powell,Brandy White,4.96667,10.7,Tonga,CM,Douala,False,True,True,unhappy
1986-09-19,1986-11-04,Stephanie Williams,Rachel Martin,-7.76667,35.7,Iringa,TZ,Dar es Salaam,True,True,True,scared
2013-06-23,2013-08-13,Melanie Schultz,Cassidy Brown,34.31,-2.16,Jerada,MA,Casablanca,False,True,True,tense
2008-02-13,2008-03-16,Regina Keller,Jerry Collins,-7.76667,35.7,Iringa,TZ,Dar es Salaam,True,True,True,worried
1995-08-15,1995-09-15,Megan Welch,Ashley Carr,24.96334,10.18003,Ghat,LY,Tripoli,False,False,True,evasive
2016-03-12,2016-05-02,Ryan Collins,Adam Mathis,35.72917,10.58082,Msaken,TN,Tunis,False,False,True,tense
1989-05-05,1989-05-15,Chase Garcia,Dr. John Webb DVM,34.15429,3.50309,Messaad,DZ,Algiers,True,True,True,insulting
2007-09-14,2007-10-29,Christina Mccann,Teresa Diaz,7.50251,5.06258,Igbara-Odo,NG,Lagos,False,True,True,insulting
1989-09-18,1989-09-18,Steven Orr,Sarah Reynolds,12.18441,18.69303,Mongo,TD,Ndjamena,False,False,True,evasive
2004-05-28,2004-06-03,Mary Clay,Grant Humphrey,8.88649,2.59753,Tchaourou,BJ,Porto-Novo,False,True,False,unhappy
2013-10-20,2013-12-08,Steven Spencer,Ray Hall,33.92866,-6.90656,Temara,MA,Casablanca,False,True,True,evasive
1998-05-22,1998-07-20,Renee Sanchez,Shelia Holmes,12.18441,18.69303,Mongo,TD,Ndjamena,False,True,True,lonely
1994-07-19,1994-08-30,Ashley Porter,Elizabeth Cook,34.15429,3.50309,Messaad,DZ,Algiers,True,False,True,silent
1993-10-26,1993-11-11,Jared Jarvis,Michael Bailey,5.27247,-3.59625,Bonoua,CI,Abidjan,False,True,True,accusatory
1993-12-08,1993-12-17,Michael Miller,Alexandra Jones,2.41669,30.98551,Paidha,UG,Kampala,False,False,True,complaining
1995-06-02,1995-06-02,Brian Carroll,William Gallagher,36.72544,3.55665,Thenia,DZ,Algiers,True,False,True,accusatory
2006-01-23,2006-03-20,Jeremy Lopez,Ashley Farrell,36.08497,9.37082,Siliana,TN,Tunis,False,True,True,paranoid
1988-07-29,1988-09-05,Gregory Davenport,Brian Delacruz,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,True,True,paranoid
2004-07-08,2004-08-31,Anthony Flowers,Susan Bowers,-7.76667,35.7,Iringa,TZ,Dar es Salaam,False,False,True,happy
2011-05-18,2011-06-24,Nancy Mason,Angelica Chan,36.27462,4.85668,Bordj Zemoura,DZ,Algiers,False,True,True,friendly
2014-04-21,2014-04-24,Michael Delgado,Christina Ball,5.84752,-5.682,Lakota,CI,Abidjan,False,False,True,worried
2015-05-11,2015-06-24,Michael Tucker,Marie Hernandez,0.03813,36.36339,Nyahururu,KE,Nairobi,False,True,True,paranoid
2006-06-13,2006-06-13,Jason Dawson,Maria Tucker,33.92866,-6.90656,Temara,MA,Casablanca,False,True,True,talkative
1992-02-10,1992-03-22,Susan Perry,Emily Johns,36.06386,4.62744,El Achir,DZ,Algiers,False,True,True,over-complimenting
1992-11-10,1992-12-12,Levi Jones,Lindsey Wheeler,-1.9487,30.4347,Rwamagana,RW,Kigali,True,True,True,out-of-control
2013-08-31,2013-09-21,Kelsey Ford,Kenneth Barrett,35.72917,10.58082,Msaken,TN,Tunis,True,True,True,confessing
1990-12-06,1991-01-27,Ann Tucker,Reginald Harvey,-6.25,38.66667,Mvomero,TZ,Dar es Salaam,False,False,True,silent
2011-11-28,2012-01-23,Steven Shepard,Wesley Horton,6.8485,3.64633,Shagamu,NG,Lagos,False,True,True,accusatory
2005-09-04,2005-10-29,Amber Wright,Gregory Hanson,33.43443,-5.22126,Azrou,MA,Casablanca,False,False,True,insulting
2002-08-19,2002-09-26,Lisa Smith,Christopher Morrison,0.03813,36.36339,Nyahururu,KE,Nairobi,False,True,True,tense
2015-12-21,2016-01-04,Joshua Lewis,Barbara Bailey,36.46917,10.78222,Beni Khiar,TN,Tunis,False,True,True,talkative
2000-05-14,2000-06-01,Courtney Bryant,Melissa Ellis,0.76755,24.43973,Yangambi,CD,Lubumbashi,False,True,True,injured
2010-12-12,2011-02-03,Crystal Mcdonald,Sarah Green,36.76775,2.95924,Cheraga,DZ,Algiers,False,False,True,sad
1997-05-08,1997-05-30,Ashley Hanna,Rachel Lucas,-6.25,38.66667,Mvomero,TZ,Dar es Salaam,False,False,False,evasive
2021-07-14,2021-08-24,Alexander Caldwell,Michael Higgins,-4.83,29.65806,Mwandiga,TZ,Dar es Salaam,False,False,True,paranoid
2016-01-01,2016-02-28,Robert Scott IV,Jeffrey Bush,-4.83,29.65806,Mwandiga,TZ,Dar es Salaam,False,False,True,evasive
1996-01-12,1996-02-07,Christine Gardner,Lindsey Wheeler,7.57944,-8.53778,New Yekepa,LR,Monrovia,False,True,True,friendly
1986-07-16,1986-07-30,Laura Williams,Michael Smith,8.48714,-13.2356,Freetown,SL,Freetown,True,True,True,scared
2001-10-11,2001-10-29,Gregory Pitts,Barbara Bailey,3.11988,35.59642,Lodwar,KE,Nairobi,True,False,False,accusatory
2018-02-26,2018-04-25,William Jackson,Stacey Morris,36.06386,4.62744,El Achir,DZ,Algiers,False,True,True,confessing
